NumSuj;NumBloc;Level of Automation;Difficulty;System Correctness;Latence (in s);Explicability;Subject Correctness;Type of Control;Temporal Binding (in ms);Score of Control
1;8;Forced;Easy;Correct;0.25;Guided;Correct;Felt;1250;5
1;8;Free;Easy;Correct;1.25;Guided;Error;Felt;140;5
1;8;Forced;Easy;Correct;1.25;Guided;Correct;Felt;-50;5
1;8;Forced;Hard;Correct;1.25;Guided;Correct;Felt;-250;6
1;8;Forced;Easy;Correct;1.25;Guided;Correct;Felt;-495;5
1;8;Forced;Medium;Correct;0.75;Guided;Correct;Felt;10;5
1;9;Free;Hard;Correct;1.25;Unguided;Correct;Used;-672;5
1;9;Free;Medium;Correct;1.25;Unguided;Correct;Used;-350;5
1;9;Free;Hard;Correct;0.75;Unguided;Correct;Used;250;5
1;9;Forced;Easy;Correct;0.25;Unguided;Correct;Used;540;4
1;9;Free;Hard;Correct;0.25;Unguided;Correct;Used;950;3
1;9;Free;Easy;Correct;1.25;Unguided;Correct;Used;250;4
1;9;Free;Hard;Error;0.75;Unguided;Error;Used;450;5
1;9;Free;Easy;Correct;0.25;Unguided;Correct;Used;983;4
1;9;Free;Easy;Correct;0.75;Unguided;Correct;Used;650;4
1;9;Forced;Hard;Correct;0.25;Unguided;Correct;Used;250;5
1;9;Forced;Hard;Error;0.75;Unguided;Error;Used;10;6
1;9;Free;Medium;Correct;0.25;Unguided;Correct;Used;1050;4
1;9;Forced;Easy;Correct;0.25;Unguided;Correct;Used;861;4
1;9;Forced;Hard;Correct;0.75;Unguided;Correct;Used;249;4
1;9;Free;Medium;Correct;0.25;Unguided;Correct;Used;744;5
1;9;Forced;Easy;Correct;1.25;Unguided;Correct;Used;-250;5
1;9;Free;Easy;Correct;0.75;Unguided;Correct;Used;-185;5
1;9;Forced;Hard;Correct;0.25;Unguided;Correct;Used;863;5
1;9;Forced;Medium;Correct;0.25;Unguided;Correct;Used;625;5
1;9;Free;Medium;Correct;1.25;Unguided;Correct;Used;-255;4
1;9;Free;Easy;Correct;0.25;Unguided;Correct;Used;515;6
1;9;Free;Medium;Correct;0.75;Unguided;Correct;Used;-405;5
1;9;Forced;Easy;Correct;0.75;Unguided;Correct;Used;364;4
1;9;Forced;Easy;Correct;1.25;Unguided;Correct;Used;-650;6
1;9;Forced;Medium;Correct;1.25;Unguided;Correct;Used;-127;5
1;9;Free;Easy;Correct;1.25;Unguided;Correct;Used;-507;4
1;9;Free;Hard;Correct;1.25;Unguided;Correct;Used;-127;4
1;9;Forced;Medium;Error;0.25;Unguided;Error;Used;1250;5
1;9;Forced;Easy;Correct;0.75;Unguided;Correct;Used;4;6
1;9;Free;Medium;Correct;0.75;Unguided;Correct;Used;-18;4
1;9;Forced;Medium;Correct;1.25;Unguided;Correct;Used;-137;5
1;9;Forced;Hard;Correct;1.25;Unguided;Correct;Used;-251;5
1;9;Forced;Hard;Correct;1.25;Unguided;Correct;Used;-39;6
1;9;Forced;Medium;Correct;0.75;Unguided;Correct;Used;246;6
1;9;Free;Hard;Error;0.25;Unguided;Error;Used;882;5
1;9;Forced;Medium;Correct;0.75;Unguided;Correct;Used;4;5
1;10;Forced;Hard;Correct;0.75;Guided;Correct;Felt;0;5
1;10;Free;Easy;Correct;0.75;Guided;Correct;Felt;-195;5
1;10;Free;Hard;Correct;1.25;Guided;Error;Felt;-285;5
1;10;Forced;Easy;Correct;0.75;Guided;Correct;Felt;50;5
1;10;Forced;Medium;Correct;0.75;Guided;Correct;Felt;-50;6
1;10;Free;Easy;Correct;0.25;Guided;Correct;Felt;646;6
1;10;Forced;Hard;Correct;0.75;Guided;Correct;Felt;-50;7
1;10;Free;Easy;Correct;1.25;Guided;Error;Felt;-500;6
1;10;Forced;Easy;Correct;0.25;Guided;Correct;Felt;-150;5
1;10;Free;Medium;Correct;0.25;Guided;Correct;Felt;515;6
1;10;Forced;Easy;Correct;0.75;Guided;Correct;Felt;204;5
1;10;Forced;Hard;Error;1.25;Guided;Error;Felt;-797;4
1;10;Free;Hard;Correct;1.25;Guided;Correct;Felt;-487;4
1;10;Free;Hard;Error;0.75;Guided;Error;Felt;236;6
1;10;Forced;Easy;Correct;1.25;Guided;Correct;Felt;-250;5
1;10;Free;Medium;Correct;0.75;Guided;Correct;Felt;-318;4
1;10;Forced;Medium;Correct;1.25;Guided;Correct;Felt;-550;5
1;10;Forced;Medium;Correct;0.25;Guided;Correct;Felt;726;6
1;10;Free;Medium;Correct;0.25;Guided;Error;Felt;415;6
1;10;Forced;Medium;Correct;0.25;Guided;Correct;Felt;293;4
1;10;Forced;Medium;Correct;0.75;Guided;Correct;Felt;49;6
1;10;Forced;Hard;Correct;1.25;Guided;Correct;Felt;-250;5
1;10;Forced;Easy;Correct;0.25;Guided;Correct;Felt;752;7
1;10;Free;Easy;Correct;0.25;Guided;Correct;Felt;726;5
1;10;Forced;Hard;Error;0.25;Guided;Error;Felt;482;4
1;10;Free;Medium;Correct;1.25;Guided;Error;Felt;-529;5
1;10;Free;Easy;Correct;0.75;Guided;Error;Felt;-250;5
1;10;Free;Hard;Correct;0.75;Guided;Error;Felt;-210;5
1;10;Free;Hard;Correct;0.25;Guided;Error;Felt;750;5
1;10;Free;Medium;Error;0.75;Guided;Correct;Felt;-516;5
1;10;Free;Hard;Correct;0.25;Guided;Correct;Felt;534;5
1;10;Forced;Medium;Correct;1.25;Guided;Correct;Felt;-260;5
1;10;Free;Easy;Correct;1.25;Guided;Correct;Felt;-250;4
1;10;Free;Medium;Correct;1.25;Guided;Error;Felt;-475;5
1;10;Forced;Hard;Correct;0.25;Guided;Correct;Felt;751;4
1;10;Forced;Easy;Correct;1.25;Guided;Correct;Felt;-50;6
1;11;Forced;Easy;Correct;1.25;Unguided;Correct;Used;194;5
1;11;Free;Medium;Correct;0.25;Unguided;Correct;Used;450;7
1;11;Forced;Medium;Correct;1.25;Unguided;Correct;Used;50;5
1;11;Free;Medium;Correct;0.75;Unguided;Correct;Used;-96;5
1;11;Free;Medium;Correct;1.25;Unguided;Correct;Used;-360;5
1;11;Forced;Hard;Correct;0.75;Unguided;Correct;Used;-516;5
1;11;Forced;Hard;Correct;1.25;Unguided;Correct;Used;-250;4
1;11;Free;Medium;Correct;0.75;Unguided;Correct;Used;24;5
1;11;Free;Hard;Correct;0.75;Unguided;Correct;Used;-250;5
1;11;Forced;Easy;Correct;0.25;Unguided;Correct;Used;950;4
1;11;Free;Easy;Correct;1.25;Unguided;Correct;Used;50;5
1;11;Forced;Hard;Correct;0.75;Unguided;Correct;Used;750;5
1;11;Forced;Medium;Error;0.25;Unguided;Error;Used;1244;4
1;11;Free;Easy;Correct;0.25;Unguided;Correct;Used;850;5
1;11;Free;Hard;Correct;0.75;Unguided;Correct;Used;140;6
1;11;Forced;Easy;Correct;0.75;Unguided;Correct;Used;246;6
1;11;Free;Medium;Correct;1.25;Unguided;Correct;Used;-596;6
1;11;Free;Medium;Correct;0.25;Unguided;Correct;Used;694;6
